nomacheteur,records
MONTREVAULT-SUR-ÈVRE,91
DEPARTEMENT DE VENDEE,91
LOUDEAC COMMUNAUTE BRETAGNE CENTRE,91
SYND DEP D ENERGIE ET D EQPT DE VENDEE,91
Centre Hospitalier d'Argentan,90
ARAFER,90
DRAGAGES PORTS,90
Ville De Saint Nazaire,90
Ville de Saint Berthevin,89
Normandie Aménagement,89
Ville de Canteleu,89
TERRITOIRES PUBLICS,89
smictom du Sud-Est d'Ille et Vilaine,89
CCAS d'Yvetot,89
SPL EAU DU BASSIN RENNAIS,89
EPF de la Vendée,89
Communauté Communes Parthenay-Gâtine,89
PREFECTURE NORMANDIE,89
CCI de région Nord de France,89
Mairie de Saint-Herblain,89
Com Communes du Pays d'Ancenis,88
Rectorat de l'Académie de Nantes,88
Eure Habitat (OPH),88
Ministère de la Justice,88
Commune de Pléneuf-Val-André,88
Cté de Cnes CHATEAUBRIANT-DERVAL,88
COMMUNE DE MALAUNAY,88
Eau du Ponant - S.P.L.,87
Centre hospitalier de Laval,86
VALCOR,86
Ministère des Affaires étrangères,86
Saumur Agglopropreté,86
Brest Métropole Habitat,86
CC DE L OUST A BROCELIANDE COMMUNAUTE,86
EMA/DCSSA/DAPS-SSA,85
Mairie de Mondeville,85
CNFPT - Délégation Pays de la Loire,85
Agence de l'eau Seine-Normandie,85
EAU DE PARIS,84
MAIRIE DE CORDEMAIS,84
préfet de la région Pays de la Loire,84
Loire Atlantique développement,84
Saint-Brieuc Armor Agglomération,84
Chambre de Commerce et d'Industrie,83
EPD de Grugny,83
Conseil Général du Calvados-cg14,83
Armement des phares et balises,83
groupement de commande ville et CCAS,83
Commune d'Yvetot,83
CA LANNION-TREGOR COMMUNAUTE,83
Cté de Cnes Bretagne Romantique,82
Adoma,82
CNIEG,82
Syndic.mixte Baie du Mont Saint-Michel,82
Commune des Herbiers,82
SYMPERC,82
Communauté de communes BAUGEOIS VALLEE,82
Département de la Seine-Maritime - DCE1,82
Campagne de Caux,81
Commune de Souleuvre en Bocage,81
Saint-Nazaire Agglomération -  la CARENE,81
Nantes Université,81
Ville de Sainte-Adresse,80
Ville de Dinan,80
MINDEF/SGA/DCSID/ESID Bordeaux,80
COMMUNE DE LOIRE AUTHION,80
COMMUNE DE LE TRAIT,80
COMMUNE DE BOIS GUILLAUME,80
GHT Eure-Seine Pays D'ouche,80
SERVICE COMMUN D ACHATS,80
EPTB Vilaine,80
Espacil Habitat,79
ASSISTANCE PUBLIQUE HOPITAUX DE PARIS,79
CC INTERCOM DE LA VIRE AU NOIREAU,79
Mairie de Petit-Quevilly,79
SDIS 14,78
brest metropole amenagement,78
ville de Lillebonne,78
ECOLE NATIONALE SUPERIEURE MARITIME,78
Commune d'Ancenis-Saint-Géréon,78
Communauté de communes Pays sabolien,78
Mauges Communauté,78
Université de Rennes,78
EPTB Eaux et Vilaine,78
REGION DES PAYS DE LA LOIRE,78
Réseau Canopé,77
CRIANN,77
Ecole National Sup. d'Arts et Métiers,77
FLERS AGGLO,77
Ca Caux Seine Agglo,77
SNA/ouest,76
CC INTERCO NORMANDIE SUD EURE,76
Agglomération Fécamp Caux Littoral,76
OFFICE FRANCAIS DE LA BIODIVERSITE,76
CMAR Pays de Loire,76
VILLE DE BOUGUENAIS,76
Centre Hospitalier de Saint-Nazaire,75
CAP Atlantique,75
Cté de Communes de la Région de Blain,75
DIR OUEST,75
Communauté de Communes Coeur de Nacre,75
Ploërmel Communauté,75
DIR INTERDEPARTEMENTALE DES RTE OUEST,75
Mairie de Darnétal,75
Commune de Vire Normandie,75
ARS de Basse Normandie,74
COMMUNE DE MAUGES SUR LOIRE,74
Les Sables d'Olonne Agglomération,74
Centre Hospitalier des Pays de Morlaix,73
CAF de la Loire Atlantique,73
CdC Côte Ouest Centre Manche,73
CROUS de Rennes,72
CARSAT Normandie,72
LORIENT HABITAT,72
COMMUNAUTE DE COMMUNES DU SUD ESTUAIRE,72
Saint-Nazaire Agglomération -  la Carene,72
GAESS Manche et Calvados,71
ville de Fécamp,71
Cté de Communes du Pays des Herbiers,71
Ville des Andelys,71
Synd.Mixte du circuit des 24H du Mans,71
Mairie Perros Guirec,71
Centre Hospitalier Robert Bisson,70
Ville de Thouaré-sur-Loire,70
SYDELA,70
Communauté communes Pays du Neubourg,70
Essarts en Bocage,70
CC Pays de Honfleur - Beuzeville,70
Conseil général des Côtes d Armor,69
CESAME - CH de Sainte Gemmes sur Loire,69
Commune de La Baule,69
Centre hospitalier de Saumur,69
Ville - Les Ponts-de-Cé,69
ECOLE DE MANAGEMENT DE NORMANDIE,69
MINDEF/DGA/DO/S2A,69
VILLE DE GRANVILLE,69
Sembreizh,69
CMAR Normandie,69
CNAM,68
SDIS 49,68
Commune de Vallet,68
COMMUNE DE PONT AUDEMER,68
BREST METROPOLE AMENAGEMENT SOC PUB LO,68
COMMUNE DE CABOURG,68
SPL Cherbourg Port,68
REGION BRETAGNE,68
Comm Comm de Doué la Fontaine,67
GIP LABOCEA,67
CCI TERRITORIALE ILLE ET VILAINE,67
Sorbonne Université,67
Agglomération Seine-Eure,67
COM DE COMMUNES DE BELLE ILE EN MER,67
SPL SONADEV,67
OPH ROUEN HABITAT,67
Communauté de communes du Pays Sabolien,67
Ville de La Roche-sur-Yon,66
MINDEF/AIR/SIAé,66
Commune d'Ecommoy,66
La Cité des Congrès de Nantes,66
CPAM du Finistère,66
Agence de l'eau Loire-Bretagne,66
Grpement de cdes des établissements,66
commune de Parigné l'Evêque,66
SYSEM,66
O.P.H LE MANS HABITAT,66
CC DU PAYS DE DOL BAIE MONT ST MICHEL,66
CC DES VILLES SOEURS,66
Commune de l'ile d'Yeu,65
Ville de Plougastel Daoulas,65
CIF COOPERATIVE,65
GIP SIB,65
COMMUNE DE BERNAY,65
CHAMBRE REG AGRI PAYS DE LA LOIRE,65
Golfe du Morbihan-Vannes Agglomération,65
COMMUNE DE LORIENT,65
Commune de Dreux,64
cdc de l'Orée de Bercé Belinois,64
COMMUNE DE FONTENAY LE COMTE,64
UNIVERSITE GUSTAVE EIFFEL,64
Communauté de Communes Granville Terre et Mer,64
Brest Métropole,64
CHU ROUEN NORMANDIE,64
CHU ANGERS,64
Grand port fluvio maritime de l'axe Seine - Direction territoriale de Rouen,64
Ville de Pontivy,63
SITCOM Région d'Argentan,63
COM DE COMMUNES DE LA REG D YVETOT,63
GEVES,63
Commune de Petit-Caux,63
EAU DU MORBIHAN,63
Territoire d'énergie Loire-Atlantique,63
CIAS A L'OUEST DE RENNES,62
SYNDICAT MIXTE MANCHE NUMERIQUE,62
DIR INTERDEPARTEMENTALE ROUTES OUEST,62
Regie Dieppoise Activites Portuaires,62
BMA SPL,62
École hautes études en santé publique,61
Ville d'Octeville-sur-Mer,61
SMICTOM du Centre-Ouest,61
Etablissement Public Loire,61
